scenario,horizon_days,forecaster,reward_mode,ga_mode,policy,mean_total_cost,sd_total_cost,ci95_low,ci95_high,n
SUPPLY_DISRUPTION,180,lstm_rf,inventory_plus_routing,on,AI,12864594.098675273,1857356.3284874782,12212529.426078599,13537051.673441984,30
SUPPLY_DISRUPTION,180,lstm_rf,inventory_plus_routing,on,DYNAMIC,21143342.75941493,2519948.1456963858,20225947.237215027,22007121.27968244,30
SUPPLY_DISRUPTION,180,lstm_rf,inventory_plus_routing,on,STATIC,23391021.262538545,2091616.7369014889,22626764.57334547,24132284.675752282,30
SUPPLY_DISRUPTION,180,lstm_rf,inventory_plus_routing,on,BASESTOCK,23558262.766939685,1982712.9949432989,22846977.139649775,24280347.944835216,30
SUPPLY_DISRUPTION,180,lstm_rf,inventory_plus_routing,on,DYN_FC,23652581.43317575,2031741.4477838685,22912939.81143374,24378925.364511523,30
